id,districtCode,provinceCode,nameTh,nameEn
2210,2210,13,เขาคิชฌกูฏ,Khao Khitchakut
2301,2301,14,เมืองตราด,Mueang Trat
2302,2302,14,คลองใหญ่,Khlong Yai
2303,2303,14,เขาสมิง,Khao Saming
2304,2304,14,บ่อไร่,Bo Rai
2305,2305,14,แหลมงอบ,Laem Ngop
2306,2306,14,เกาะกูด,Ko Kut
2307,2307,14,เกาะช้าง,Ko Chang
2401,2401,15,เมืองฉะเชิงเทรา,Mueang Chachoengsao
2402,2402,15,บางคล้า,Bang Khla
2403,2403,15,บางน้ำเปรี้ยว,Bang Nam Priao
2404,2404,15,บางปะกง,Bang Pakong
2405,2405,15,บ้านโพธิ์,Ban Pho
2406,2406,15,พนมสารคาม,Phanom Sarakham
2407,2407,15,ราชสาส์น,Ratchasan
2408,2408,15,สนามชัยเขต,Sanam Chai Khet
2409,2409,15,แปลงยาว,Plaeng Yao
2410,2410,15,ท่าตะเกียบ,Tha Takiap
2411,2411,15,คลองเขื่อน,Khlong Khuean
2501,2501,16,เมืองปราจีนบุรี,Mueang Prachin Buri
2502,2502,16,กบินทร์บุรี,Kabin Buri
2503,2503,16,นาดี,Na Di
2506,2506,16,บ้านสร้าง,Ban Sang
2507,2507,16,ประจันตคาม,Prachantakham
2508,2508,16,ศรีมหาโพธิ,Si Maha Phot
2509,2509,16,ศรีมโหสถ,Si Mahosot
2601,2601,17,เมืองนครนายก,Mueang Nakhon Nayok
2602,2602,17,ปากพลี,Pak Phli
2603,2603,17,บ้านนา,Ban Na
2604,2604,17,องครักษ์,Ongkharak
2701,2701,18,เมืองสระแก้ว,Mueang Sa Kaeo
2702,2702,18,คลองหาด,Khlong Hat
2703,2703,18,ตาพระยา,Ta Phraya
2704,2704,18,วังน้ำเย็น,Wang Nam Yen
2705,2705,18,วัฒนานคร,Watthana Nakhon
2706,2706,18,อรัญประเทศ,Aranyaprathet
2707,2707,18,เขาฉกรรจ์,Khao Chakan
2708,2708,18,โคกสูง,Khok Sung
2709,2709,18,วังสมบูรณ์,Wang Sombun
3001,3001,19,เมืองนครราชสีมา,Mueang Nakhon Ratchasima
3002,3002,19,ครบุรี,Khon Buri
3003,3003,19,เสิงสาง,Soeng Sang
3004,3004,19,คง,Khong
3005,3005,19,บ้านเหลื่อม,Ban Lueam
3006,3006,19,จักราช,Chakkarat
3007,3007,19,โชคชัย,Chok Chai
3008,3008,19,ด่านขุนทด,Dan Khun Thot
3009,3009,19,โนนไทย,Non Thai
3010,3010,19,โนนสูง,Non Sung
3011,3011,19,ขามสะแกแสง,Kham Sakaesaeng
3012,3012,19,บัวใหญ่,Bua Yai
3013,3013,19,ประทาย,Prathai
3014,3014,19,ปักธงชัย,Pak Thong Chai
3015,3015,19,พิมาย,Phimai
3016,3016,19,ห้วยแถลง,Huai Thalaeng
3017,3017,19,ชุมพวง,Chum Phuang
3018,3018,19,สูงเนิน,Sung Noen
3019,3019,19,ขามทะเลสอ,Kham Thale So
3020,3020,19,สีคิ้ว,Sikhio
3021,3021,19,ปากช่อง,Pak Chong
3022,3022,19,หนองบุญมาก,Nong Bun Mak
3023,3023,19,แก้งสนามนาง,Kaeng Sanam Nang
3024,3024,19,โนนแดง,Non Daeng
3025,3025,19,วังน้ำเขียว,Wang Nam Khiao
3026,3026,19,เทพารักษ์,Thepharak
3027,3027,19,เมืองยาง,Mueang Yang
3028,3028,19,พระทองคำ,Phra Thong Kham
3029,3029,19,ลำทะเมนชัย,Lam Thamenchai
3030,3030,19,บัวลาย,Bua Lai
3031,3031,19,สีดา,Sida
3032,3032,19,เฉลิมพระเกียรติ,Chaloem Phra Kiat
3101,3101,20,เมืองบุรีรัมย์,Mueang Buri Ram
3102,3102,20,คูเมือง,Khu Mueang
3103,3103,20,กระสัง,Krasang
3104,3104,20,นางรอง,Nang Rong
3105,3105,20,หนองกี่,Nong Ki
